"","pctilleg","pctkids2par","numilleg","racepctwhite","racepctblack","pctpersdensehouse","pctfam2par","pctvacantboarded","numstreet","pcthouseless3br","malepctdivorce","mixedCommunity","immigrantCommunity","violentcrimesperpopulation"
"264",0.03,0.89,0,0.9,0.08,0.02,0.92,0.06,0,0.22,0.22,1,1,0.01
"265",0.1,0.8,0.01,0.99,0.01,0.05,0.81,0.08,0,0.4,0.37,1,1,0.05
"266",0.11,0.62,0.01,0.84,0.16,0.06,0.6,0.06,0,0.47,0.51,1,1,0.14
"267",0.64,0.38,0.26,0.34,0.83,0.21,0.41,0.6,0.01,0.43,0.58,2,1,0.35
"268",0.21,0.55,0.01,0.88,0.12,0.09,0.51,0.11,0,0.61,0.58,1,1,0.17
"269",0.12,0.7,0,0.95,0.03,0.05,0.64,0.09,0,0.57,0.18,1,1,0.05
"270",0.24,0.51,0.01,0.97,0.02,0.05,0.43,0.04,0,0.54,0.61,1,1,0.69
"271",0.1,0.77,0.01,0.92,0.08,0.08,0.78,0.17,0,0.4,0.28,1,1,0.11
"272",0.14,0.56,0.01,0.93,0.09,0.05,0.55,0.14,0,0.5,0.56,1,1,0.24
"273",0.26,0.5,0.01,0.82,0.18,0.22,0.44,0.14,0,0.77,0.94,2,2,0.35
"274",0.52,0.39,0.04,0.63,0.44,0.14,0.38,0.59,0,0.56,0.82,2,1,0.27
"275",0.1,0.81,0,0.98,0.02,0.06,0.81,0.21,0,0.29,0.27,1,1,0.13
"276",0.41,0.54,0.04,0.37,0.34,0.51,0.56,0.52,0.08,0.47,0.55,2,2,0.36
"277",0.62,0.28,0.04,0.38,0.78,0.22,0.31,0.18,0,0.55,0.7,2,1,0.34
"278",0.18,0.7,0.02,0.85,0.15,0.07,0.7,0.44,0.01,0.43,0.34,1,1,0.08
"279",0.15,0.67,0,0.98,0.01,0.1,0.66,0.2,0,0.38,0.42,1,1,0.05
"280",0.11,0.77,0.01,0.95,0,0.06,0.7,0.02,0,0.5,0.34,1,1,0.03
"281",0.08,0.66,0,0.9,0.03,0.15,0.68,0.09,0,0.62,0.35,1,1,0.03
"282",0.19,0.56,0.01,0.97,0.02,0.04,0.49,0.05,0,0.47,0.42,1,1,0.12
"283",0.06,0.72,0,0.99,0.01,0.03,0.7,0.22,0,0.41,0.28,1,1,0.06
"284",0.18,0.5,0.01,0.91,0.02,0.11,0.45,0.07,0,0.68,0.84,2,1,0.32
"285",0.32,0.59,0.01,0.76,0.11,0.2,0.64,0.47,0,0.43,0.3,2,2,0.19
"286",0.23,0.46,0.01,0.45,0.61,0.21,0.48,0.51,0,0.48,0.65,2,1,0.14
"287",0.52,0.33,0.03,0.6,0.38,0.25,0.33,0.2,0,0.72,0.57,2,2,0.51
"288",0.01,0.98,0,0.98,0,0.01,0.97,0,0,0.09,0.16,1,1,0.01
"289",0.22,0.53,0.01,0.64,0.39,0.23,0.57,0.4,0,0.54,0.58,2,1,0.59
"290",0.08,0.81,0,0.99,0,0.07,0.84,0.3,0,0.34,0.35,1,1,0.09
"291",0.19,0.67,0.01,0.97,0.02,0.09,0.66,0.02,0,0.51,0.38,1,1,0.1
"292",0.53,0.36,0.01,0.72,0.3,0.07,0.35,0.05,0,0.69,0.21,2,2,0.09
"293",0.03,0.89,0,0.97,0.01,0.01,0.88,0,0,0.34,0.21,1,1,0.03
"294",0.49,0.45,0.11,0.79,0.1,0.14,0.44,0.26,0.03,0.51,0.56,2,1,0.28
"295",0.09,0.72,0.01,0.92,0.08,0.05,0.7,0.11,0,0.4,0.39,1,1,0.1
"296",0.13,0.8,0.01,0.9,0.06,0.05,0.81,0.2,0,0.48,0.27,1,1,0.12
"297",0.6,0.43,0.47,0.36,0.27,0.76,0.42,0.26,0.15,0.85,0.62,2,2,0.67
"298",0,0.94,0,0.86,0.02,0.04,0.95,0.06,0,0.13,0.15,1,2,0.02
"299",0.18,0.66,0,0.63,0,1,0.72,0.06,0,0.57,0.33,2,2,0.29
"300",0.3,0.37,0.03,0.89,0.04,0.16,0.32,0.16,0.05,0.71,0.95,1,1,0.36
"301",0.17,0.66,0.01,0.91,0.09,0.07,0.63,0.07,0,0.51,0.54,1,1,0.11
"302",0.13,0.66,0,0.91,0.09,0.09,0.64,0.07,0,0.45,0.58,1,1,0.03
"303",0.45,0.55,0.02,0.64,0.44,0.12,0.54,0.08,0,0.42,0.39,2,1,0.35
"304",0.16,0.48,0.01,0.75,0.21,0.2,0.47,0.1,0,0.64,0.77,2,2,0.25
"305",0.09,0.62,0,0.89,0.04,0.1,0.59,0.15,0,0.51,0.5,1,1,0.06
"306",0.08,0.74,0.01,0.87,0.03,0.15,0.65,0.11,0.01,0.68,0.41,1,2,0.45
"307",0.22,0.58,0.03,0.59,0.23,0.42,0.6,0.65,0.05,0.56,0.59,2,2,0.23
"308",0.32,0.38,0.02,0.83,0.21,0.1,0.32,0.32,0,0.63,0.74,2,1,0.32
"309",0.05,0.84,0,0.86,0.12,0.03,0.83,0.07,0,0.51,0.35,1,1,0.04
"310",0.03,0.84,0,0.94,0.02,0.03,0.82,0.08,0,0.44,0.17,1,2,0.02
"311",0.06,0.69,0,0.99,0,0.11,0.69,0.02,0,0.39,0.48,1,1,0.16
"312",0.19,0.76,0.02,0.87,0.12,0.08,0.75,0.41,0,0.36,0.4,1,1,0.12
"313",0.2,0.62,0.03,0.86,0.09,0.14,0.58,0.29,0.01,0.67,0.36,2,2,0.2
"314",0.42,0.38,0.09,0.71,0.35,0.07,0.35,0.31,0,0.5,0.71,2,1,0.51
"315",0.17,0.76,0.01,0.79,0.1,0.18,0.73,0.02,0,0.57,0.4,2,2,0.18
"316",0.5,0.38,0.08,0.73,0.3,0.07,0.31,0.87,0,0.52,0.59,2,1,0.3
"317",0.91,0.22,0.03,0.36,0.78,0.28,0.27,0.3,0,0.48,0.59,2,1,0.37
"318",0.46,0.5,0.02,0.2,0,1,0.55,0.4,0,0.57,0.33,2,2,0.31
"319",0.08,0.73,0,0.96,0.02,0.05,0.68,0,0,0.5,0.41,1,1,0.04
"320",0.2,0.41,0.01,0.82,0.02,0.31,0.38,0.19,0.01,0.67,0.76,2,2,0.18
"321",0.21,0.53,0,0.85,0.18,0.09,0.5,0.45,0,0.51,0.45,2,1,0.48
"322",0.09,0.67,0,0.84,0.08,0.09,0.67,0.17,0,0.48,0.47,1,1,0.09
"323",0.2,0.59,0.01,0.98,0.01,0.07,0.55,0.17,0,0.55,0.43,1,1,0.07
"324",0.32,0.63,0.03,0.36,0.59,0.37,0.66,0.13,0.01,0.6,0.49,2,2,0.27
"325",0.28,0.64,0.03,0.78,0.05,0.23,0.62,0.09,0.06,0.37,0.6,2,1,0.3
"326",0.42,0.54,0.02,0.54,0.01,1,0.58,0.21,0.02,0.58,0.25,2,2,0.34
"327",0.23,0.65,0.01,0.97,0.01,0.04,0.6,0.13,0,0.55,0.46,1,1,0.07
"328",0.07,0.78,0,0.95,0.05,0.05,0.78,0.07,0,0.27,0.39,1,1,0.17
"329",0.5,0.49,0.01,0.68,0.36,0.13,0.52,0.18,0,0.44,0.35,2,1,0.17
"330",0.29,0.59,0.02,0.2,0.02,0.97,0.59,0.15,0,0.76,0.38,2,2,0.34
"331",0.11,0.77,0.01,0.86,0.13,0.06,0.76,0.05,0,0.16,0.41,1,1,0.07
"332",0.11,0.67,0.01,0.9,0.05,0.14,0.67,0.01,0,0.37,0.54,1,1,0.35
"333",0.04,0.92,0,0.87,0.09,0.03,0.92,0.05,0,0.18,0.14,1,2,0.04
"334",1,0,0.13,0.01,1,0.4,0,1,0.05,0.76,0.88,2,2,1
"335",0.26,0.49,0.01,0.53,0.46,0.25,0.49,0.14,0,0.53,0.52,2,1,0.48
"336",0.06,0.92,0.01,0.95,0.04,0.03,0.9,0.03,0,0.13,0.13,1,1,0.03
"337",0.08,0.81,0.01,0.91,0.01,0.54,0.82,0.22,0.02,0.55,0.1,1,2,0.07
"338",0.06,0.87,0,0.96,0.03,0.02,0.82,0.03,0,0.24,0.23,1,1,0.05
"339",0.29,0.58,0.03,0.76,0.24,0.11,0.56,0.07,0,0.64,0.47,2,1,0.12
"340",0.14,0.82,0,0.88,0.02,0.2,0.81,0.1,0,0.26,0.32,2,1,0.04
"341",0.08,0.8,0.01,0.96,0.02,0.06,0.79,0.04,0,0.43,0.27,1,1,0.08
"342",0.15,0.79,0,0.89,0.11,0.04,0.82,0.13,0,0.2,0.51,1,1,0.1
"343",0.05,0.97,0,0.73,0.24,0.15,0.95,0.05,0,0.29,0.24,2,1,0
"344",0.14,0.77,0.01,0.99,0,0.06,0.72,0.42,0,0.41,0.35,1,1,0.04
"345",0.2,0.7,0.01,0.98,0,0.06,0.62,0.08,0,0.49,0.51,1,1,0.02
"346",0.23,0.67,0.05,0.92,0.01,0.1,0.59,0.05,0,0.57,0.48,1,1,0.18
"347",0.31,0.48,0.27,0.63,0.2,0.18,0.47,0.25,0.85,0.71,0.7,2,2,0.58
"348",0.22,0.59,0.03,0.84,0.01,0.17,0.58,0.14,0,0.52,0.49,2,1,0.08
"349",0.08,0.88,0,0.92,0.02,0.05,0.87,0,0,0.45,0.23,1,2,0.04
"350",0.16,0.77,0,0.82,0.04,0.16,0.72,0.05,0,0.69,0.05,1,2,0.09
"351",0.04,0.79,0,0.94,0.05,0.03,0.81,0.07,0,0.54,0.38,1,1,0.06
"352",0.17,0.64,0.01,0.93,0.07,0.05,0.6,0.18,0,0.48,0.47,1,1,0.08
"353",0.12,0.71,0.01,0.94,0,0.06,0.65,0.09,0,0.58,0.32,1,1,0.08
"354",0.12,0.71,0,0.95,0.04,0.08,0.76,0.12,0,0.21,0.41,1,1,0.1
"355",0.03,0.91,0,0.95,0,0.3,0.87,0.12,0,0.31,0.12,1,1,0.03
"356",0.37,0.49,0.01,0.83,0.16,0.07,0.43,0.16,0,0.51,0.36,1,1,0.28
"357",0.19,0.76,0.02,0.96,0.02,0.06,0.76,0.08,0,0.47,0.32,1,1,0.06
"358",0.04,0.82,0,0.94,0.02,0.06,0.83,0.33,0,0.39,0.23,1,1,0.04
"359",0.11,0.51,0,0.98,0.02,0.05,0.47,0.19,0.01,0.53,0.72,1,1,0.03
"360",0.01,0.81,0,0.92,0.01,0.11,0.8,0.13,0,0.17,0.35,1,1,0.07
"361",0.22,0.6,0.01,0.64,0.41,0.11,0.63,0.05,0,0.34,0.44,2,1,0.41
"362",0.28,0.52,0.01,0.6,0.49,0.1,0.48,0.28,0,0.55,0.55,2,1,0.22
"363",0.73,0.16,0.45,0.02,1,0.18,0.18,0.55,0.53,0.61,0.75,2,1,1
"364",0.09,0.64,0,0.95,0,0.19,0.59,0.12,0,0.49,0.49,1,1,0.1
"365",0.16,0.65,0.01,0.9,0.01,0.16,0.61,0.09,0,0.42,0.6,1,1,0.06
"366",0.49,0.41,0.12,0.64,0.41,0.11,0.4,0.36,0.01,0.53,0.6,2,1,0.45
"367",0.45,0.41,0.11,0.79,0.23,0.1,0.38,0.52,0,0.48,0.59,2,1,0.32
"368",0.12,0.56,0,0.35,0.01,0.63,0.62,0.61,0,0.55,0.41,2,2,0.14
"369",0.24,0.74,0.01,0.74,0.12,0.28,0.73,0.07,0,0.8,0.05,2,2,0.09
"370",0.1,0.75,0.01,0.93,0.08,0.06,0.74,0.01,0,0.31,0.35,1,1,0.07
"371",0.47,0.31,0.04,0.44,0.7,0.19,0.33,0.25,0.01,0.55,0.67,2,1,0.6
"372",0.23,0.5,0.01,0.7,0.31,0.09,0.49,0.1,0.02,0.75,0.73,2,2,0.18
"373",0.16,0.75,0.01,0.98,0.01,0.07,0.69,0.14,0,0.43,0.36,1,1,0.03
"374",0.11,0.84,0,0.97,0.01,0.07,0.83,0.11,0,0.38,0.33,1,1,0.04
"375",0.64,0.33,0.02,0.52,0.46,0.23,0.33,0.02,0,0.57,0.66,2,2,0.51
"376",0.08,0.93,0,0.79,0.01,0.13,0.95,0.1,0,0.16,0.16,1,2,0.83
"377",0.05,0.88,0,0.94,0.02,0.03,0.85,0.06,0,0.31,0.26,1,1,0.02
"378",0.16,0.72,0.01,0.91,0.01,0.16,0.64,0.57,0,0.37,0.57,2,1,0.08
"379",0.61,0.5,0.03,0.22,0.77,0.3,0.52,0.19,0,0.51,0.45,2,2,0.26
"380",0.45,0.6,0.01,0.75,0.3,0.08,0.58,0.2,0,0.49,0.52,2,1,0.23
"381",0.72,0.25,0.12,0.68,0.19,0.19,0.25,0.69,0,0.48,0.67,2,1,0.49
"382",0.24,0.87,0.01,0.82,0.22,0.12,0.88,0.08,0,0.12,0.2,2,1,0.03
"383",0.08,0.87,0,0.93,0.06,0.03,0.86,0.07,0,0.23,0.17,1,1,0.04
"384",0.18,0.58,0,0.85,0.01,0.13,0.54,0.07,0,0.58,0.48,2,1,0.15
"385",0.73,0.38,0.16,0.47,0.39,0.53,0.41,0.36,0.1,0.77,0.52,2,2,0.54
"386",0.45,0.49,0.01,0.58,0.46,0.23,0.49,0.2,0,0.56,0.31,2,1,0.31
"387",0.31,0.69,0.03,0.5,0.19,0.54,0.73,0.08,0,0.41,0.31,2,2,0.39
"388",0.23,0.57,0.01,0.77,0.25,0.15,0.61,0.33,0,0.53,0.53,2,1,0.43
"389",0.26,0.73,0.06,0.5,0.27,0.42,0.75,0.12,0,0.28,0.4,2,2,0.5
"390",0.1,0.87,0,0.96,0.02,0.03,0.83,0.11,0,0.38,0.28,1,1,0.03
"391",0.05,0.89,0,0.48,0,0.2,0.93,0,0,0.1,0.01,1,2,0.08
"392",0.07,0.85,0,0.77,0.09,0.27,0.81,0.04,0,0.49,0.28,1,2,0.04
"393",0.25,0.62,0.01,0.51,0.52,0.21,0.62,0.26,0,0.45,0.37,2,1,0.22
"394",0.23,0.52,0.01,0.61,0.26,0.44,0.52,0.35,0,0.6,0.67,2,2,0.58
"395",0.03,0.97,0,0.96,0.01,0.04,1,0.04,0,0.02,0.16,1,1,0.01
"396",0.08,0.71,0.01,0.97,0,0.07,0.66,0.18,0,0.49,0.61,1,1,0.1
"397",0.35,0.47,0.09,0.77,0,1,0.53,0.42,0.01,0.67,0.28,2,2,0.39
"398",0.22,0.64,0.01,0.88,0.13,0.06,0.61,0.22,0,0.48,0.51,1,1,0.09
"399",0.54,0.4,0.02,0.64,0.42,0.12,0.38,0.26,0.14,0.71,0.67,2,1,0.18
"400",0.33,0.23,0.03,0.76,0.28,0.22,0.23,0.08,0,1,0.66,2,2,0.8
"401",0.38,0.43,0.04,0.71,0.35,0.07,0.42,0.57,0,0.54,0.66,2,1,1
"402",0.98,0.21,1,0.44,0.59,0.2,0.18,0.86,0.12,0.62,0.62,2,1,0.4
"403",0.24,0.49,0.01,0.65,0.41,0.18,0.5,0.35,0,0.6,0.57,2,1,0.05
"404",0.24,0.67,0.01,0.45,0.2,0.79,0.73,0.63,0,0.5,0.45,2,2,0.21
"405",0.24,0.52,0.01,0.56,0.05,0.6,0.52,0.03,0,0.43,0.48,2,2,0.68
"406",0.44,0.41,0.02,0.37,0.09,0.82,0.48,0.35,0.08,0.55,0.6,2,2,0.32
"407",0.28,0.57,0.01,0.94,0.02,0.07,0.53,0.04,0,0.53,0.5,1,1,0.2
"408",0.37,0.35,0.02,0.77,0.06,0.36,0.36,0.34,0,0.59,0.85,2,1,0.62
"409",0.79,0.3,0.1,0.23,0.97,0.19,0.3,0.14,0,0.53,0.55,2,1,0.53
"410",0.4,0.58,0.02,0.68,0.24,0.22,0.59,0.07,0.04,0.6,0.56,2,2,0.25
"411",0.91,0.02,0.08,0.29,0.83,0.45,0.06,0.16,0.06,0.79,0.77,2,2,1
"412",0.53,0.44,0.03,0.73,0.22,0.2,0.43,0.12,0,0.56,0.53,2,2,0.2
"413",0.28,0.46,0.01,0.74,0.3,0.06,0.45,0.15,0,0.58,0.58,2,1,0.21
"414",1,0,1,0.07,1,0.21,0.01,1,0.89,0.51,0.78,2,1,1
"415",0.2,0.71,0.01,0.83,0.14,0.1,0.71,0.07,0,0.52,0.4,1,1,0.1
"416",0.14,0.71,0,0.97,0.02,0.08,0.74,0.02,0,0.58,0.41,1,1,0.14
"417",0.08,0.71,0,0.99,0,0.09,0.72,0.09,0,0.45,0.53,1,1,0.01
"418",0.24,0.74,0,0.86,0.03,0.26,0.72,0.02,0,0.75,0.26,2,2,0.13
"419",0.05,0.86,0,0.98,0.01,0.04,0.83,0.09,0,0.35,0.27,1,1,0.22
"420",0.16,0.73,0.01,0.76,0.08,0.21,0.74,0.38,0,0.55,0.51,2,1,0.1
"421",0.55,0.24,0.04,0.3,0.86,0.13,0.28,0.31,0.02,0.51,0.69,2,1,1
"422",0.23,0.59,0.02,0.91,0.06,0.11,0.53,0.07,0,0.71,0.37,1,2,0.69
"423",0.09,0.84,0,0.94,0,0.07,0.81,0.01,0,0.64,0.19,1,2,0.06
"424",0.51,0.37,0.05,0.87,0.15,0.2,0.36,0.85,0,0.74,0.87,1,1,0.66
"425",0.12,0.85,0,0.96,0.02,0.02,0.82,0,0,0.29,0.26,1,1,0.03
"426",0.21,0.56,0.01,0.85,0.09,0.22,0.53,0.18,0,0.6,0.74,1,1,0.16
"427",0.05,0.9,0,0.99,0.01,0.03,0.9,0.03,0,0.3,0.26,1,1,0
"428",0.64,0.25,0.04,0.47,0.67,0.18,0.26,0.18,0.01,0.64,0.57,2,1,0.76
"429",0.07,0.64,0,0.78,0.02,0.34,0.67,0.14,0.03,0.6,0.41,2,1,0.71
"430",0.28,0.6,0.07,0.62,0.15,0.44,0.64,0.04,1,0.64,0.48,2,2,0.42
"431",0.09,0.73,0,0.97,0.01,0.06,0.7,0.04,0,0.48,0.37,1,1,0.03
"432",0.45,0.4,0.34,0.39,0.3,0.39,0.37,0.46,0.61,0.63,0.75,2,2,0.53
"433",0.04,0.83,0,0.87,0.13,0.03,0.87,0,0,0.39,0.33,1,1,0.06
"434",0.74,0.23,0.08,0.3,0.88,0.19,0.23,0.36,0.06,0.5,0.67,2,1,0.18
"435",0.17,0.76,0,0.99,0,0.05,0.75,0.19,0,0.48,0.56,1,1,0.04
"436",0.1,0.78,0,0.93,0.03,0.08,0.77,0,0,0.5,0.36,1,2,0.1
"437",0.22,0.63,0.02,0.84,0.15,0.1,0.59,0.06,0,0.48,0.43,1,1,0.06
"438",0.12,0.86,0,0.93,0.05,0.02,0.84,0.03,0,0.63,0.64,1,1,0.04
"439",0.2,0.64,0.11,0.41,0.09,0.53,0.66,0.1,0.28,0.57,0.46,2,2,0.16
"440",0.13,0.43,0.01,0.88,0.02,0.11,0.36,0.22,0.07,0.63,0.87,2,1,0.24
"441",0.16,0.71,0,0.92,0.04,0.12,0.72,0.07,0,0.25,0.48,1,2,0.2
"442",0.55,0.49,0.04,0.68,0.4,0.1,0.49,0.2,0,0.49,0.57,2,1,0.35
"443",0.05,0.66,0,1,0,0.08,0.66,0.36,0,0.47,0.63,1,1,0.04
"444",0.05,0.73,0,0.98,0.01,0.04,0.67,0,0,0.41,0.56,1,1,0.05
"445",0.58,0.28,0.07,0.41,0.57,0.28,0.28,0.58,0.08,0.78,0.83,2,1,0.72
"446",0.13,0.61,0.01,0.88,0.13,0.08,0.61,0.15,0,0.41,0.45,1,1,0.06
"447",0.2,0.52,0.01,0.6,0.48,0.14,0.54,0.14,0,0.39,0.48,2,1,0.62
"448",1,0.18,0.14,0,1,0.47,0.16,0.39,0.06,0.8,0.62,2,2,1
"449",0.11,0.94,0.01,0.86,0.04,0.05,0.92,0.17,0,0.2,0.11,1,2,0.03
"450",0.1,0.85,0,0.95,0.02,0.01,0.79,0.03,0,0.39,0.27,1,1,0.05
"451",0.78,0.21,0.02,0.17,1,0.24,0.21,0,0,0.44,0.62,2,1,0.63
"452",0.11,0.75,0.01,0.95,0,0.07,0.7,0.1,0,0.46,0.38,1,1,0.05
"453",0.28,0.46,0.02,0.72,0.35,0.15,0.5,0.27,0,0.68,0.64,2,1,0.2
"454",0.28,0.44,0.03,0.85,0.18,0.07,0.43,0.4,0,0.57,0.66,2,1,0.07
"455",0.38,0.33,0.08,0.51,0.45,0.28,0.37,0.43,0.01,0.67,0.59,2,1,0.64
"456",0.05,0.88,0,0.98,0,0.28,0.84,0.09,0,0.38,0.26,1,1,0.1
"457",0.1,0.68,0.01,0.93,0.06,0.03,0.66,0.03,0,0.35,0.5,1,1,0.11
"458",1,0.21,0.07,0.49,0.45,0.84,0.22,0.24,0.01,0.87,0.72,2,2,1
"459",0.15,0.55,0,0.86,0.16,0.1,0.57,0.27,0,0.46,0.62,1,1,0.07
"460",0.1,0.91,0,0.98,0.01,0.05,0.9,0.04,0,0.33,0.27,1,1,0.02
"461",0.84,0.15,0.02,0.3,0.89,0.28,0.22,0.14,0,0.56,0.63,2,1,0.55
"462",0.03,0.93,0,0.95,0.02,0.02,0.92,0.02,0,0.14,0.2,1,1,0.04
"463",0.5,0.49,0.01,0.06,0.02,1,0.55,0.47,0,0.82,0.36,2,2,1
"464",0.17,0.73,0.02,0.95,0.04,0.06,0.7,0.37,0.01,0.44,0.38,1,1,0.37
"465",0.24,0.47,0.09,0.9,0.04,0.11,0.41,0.42,0.13,0.59,0.76,1,1,0.33
"466",0.06,0.54,0,0.94,0.03,0.08,0.53,0.1,0,0.59,0.77,1,1,0.09
"467",0.11,0.83,0,0.65,0.36,0.06,0.83,0.02,0,0.29,0.19,2,2,0.28
"468",0.08,0.73,0,0.67,0.02,0.24,0.71,0.03,0,0.44,0.36,2,2,0.12
"469",0.19,0.62,0.01,0.77,0.29,0.05,0.6,0.28,0,0.34,0.38,2,1,0.15
"470",0.14,0.65,0,0.97,0.02,0.13,0.64,0.35,0,0.42,0.43,1,1,0.03
"471",0.3,0.47,0.04,0.88,0.03,0.22,0.42,0.19,0.02,0.69,0.88,1,1,0.22
"472",0.03,0.95,0.01,0.96,0,0.15,0.91,0.1,0,0.1,0.18,1,1,0.05
"473",0.51,0.32,0.04,0.52,0.58,0.13,0.34,0.44,0,0.61,0.68,2,1,0.78
"474",0.39,0.45,0.02,0.72,0.33,0.11,0.43,0.12,0,0.63,0.71,2,1,0.46
"475",0.74,0.26,0.03,0.28,0.9,0.23,0.28,0.08,0,0.46,0.76,2,1,0.34
"476",0.29,0.5,0.01,0.91,0.01,0.12,0.46,0.38,0,0.58,0.81,1,1,0.22
"477",0.58,0.4,0.05,0.73,0.31,0.11,0.38,0.29,0,0.51,0.59,2,1,0.14
"478",0.23,0.58,0.03,0,0.01,1,0.62,0.11,0,0.64,0.26,2,2,0.37
"479",0.1,0.8,0,0.98,0,0.05,0.71,0,0,0.5,0.29,1,1,0.06
"480",0.41,0.44,0.01,0.72,0.33,0.13,0.42,0.11,0,0.59,0.7,2,1,0.24
"481",0.03,0.62,0,0.98,0.01,0.09,0.64,0.09,0,0.51,0.56,1,1,0.4
"482",0.09,0.82,0,0.86,0.03,0.22,0.8,0.02,0,0.39,0.44,2,2,0.22
"483",0.39,0.34,0.03,0.67,0.41,0.08,0.3,0.24,0,0.64,0.7,2,1,0.69
"484",0.15,0.67,0.01,0.8,0.09,0.2,0.65,0.03,0,0.6,0.68,1,1,0.11
"485",0.06,0.93,0,0.91,0.06,0.05,0.95,0,0,0.32,0.14,1,1,0.02
"486",0.36,0.5,0.28,0.55,0.24,0.31,0.5,0.46,0.14,0.68,0.59,2,2,0.25
"487",0.13,0.72,0.01,0.9,0.03,0.08,0.66,0.15,0.01,0.42,0.47,1,1,0.1
"488",0.16,0.58,0.01,0.89,0.08,0.19,0.54,0.03,0,0.55,0.5,1,1,0.05
"489",0.25,0.41,0.01,0.86,0.18,0.1,0.42,0.04,0,0.57,0.7,2,1,0.16
"490",0.1,0.72,0,0.98,0.01,0.05,0.72,0.35,0,0.4,0.42,1,1,0.04
"491",0.05,0.91,0,0.95,0.02,0.05,0.93,0.14,0,0.11,0.16,1,2,0.01
"492",1,0.07,0.06,0.09,1,0.27,0.1,0.36,0,0.55,0.63,2,1,0.29
"493",0.04,0.96,0,0.94,0.02,0.01,0.94,0,0,0.05,0.15,1,1,0.1
"494",0.04,0.91,0,0.93,0.02,0.04,0.92,0.21,0,0.24,0.16,1,1,0.05
"495",0.6,0.44,0.03,0.39,0.11,0.81,0.39,0.45,0.03,0.69,0.65,2,2,0.36
"496",0.36,0.44,0.01,0.78,0.04,0.45,0.45,0.47,0,0.64,0.56,2,2,0.22
"497",0.38,0.59,0.05,0.69,0.3,0.17,0.62,0.29,0.02,0.54,0.42,2,2,0.17
"498",0.3,0.5,0.03,0.83,0.21,0.1,0.49,0.22,0,0.56,0.7,2,1,0.15
"499",0.12,0.83,0,0.99,0,0.06,0.82,0.06,0,0.4,0.28,1,1,0.14
"500",0.64,0.36,0.23,0.4,0.31,0.67,0.36,0.81,0.31,0.68,0.72,2,2,1
"501",0.12,0.72,0.01,0.95,0.02,0.07,0.69,0.17,0,0.48,0.31,1,1,0.1
"502",0.13,0.62,0.01,0.86,0.15,0.1,0.62,0.17,0,0.49,0.49,1,1,0.24
"503",0.04,0.82,0,0.89,0.03,0.06,0.81,0.09,0,0.51,0.27,1,2,0.12
"504",0.2,0.72,0,0.97,0.01,0.08,0.63,0,0,0.58,0.23,1,1,0.04
"505",0.27,0.51,0.03,0.65,0.32,0.17,0.51,0.12,0,0.46,0.67,2,1,0.21
"506",0.39,0.38,0.13,0.74,0.31,0.1,0.38,0.54,0.3,0.66,0.66,2,1,0.7
"507",0.37,0.41,0.06,0.67,0.27,0.16,0.41,0.46,0.01,0.43,0.57,2,1,0.13
"508",0.13,0.72,0.01,0.84,0.02,0.13,0.65,0.03,0,0.59,0.55,1,2,0.13
"509",0.28,0.56,0.01,0.42,0.3,0.65,0.6,0.75,0,0.67,0.65,2,1,0.24
"510",0.08,0.64,0,0.97,0.01,0.09,0.61,0.03,0,0.6,0.41,1,1,0.04
"511",0.06,0.72,0.01,0.85,0.03,0.15,0.72,0.31,0,0.19,0.46,1,1,0.14
"512",0.33,0.53,0.06,0.85,0.12,0.14,0.5,0.21,0,0.55,0.54,1,1,0.22
"513",0.21,0.52,0.01,0.87,0.15,0.07,0.47,0.14,0,0.55,0.65,1,1,0.17
"514",0.17,0.6,0.04,0.84,0.03,0.2,0.55,0.06,0.08,0.56,0.6,2,2,0.22
"515",0.12,0.72,0.01,0.83,0.06,0.06,0.71,0.21,0,0.39,0.4,1,1,0.21
"516",0.03,0.83,0,0.91,0.08,0.02,0.87,0.05,0,0.33,0.31,1,1,0.03
"517",0.2,0.68,0.01,0.79,0.07,0.19,0.68,0.25,0,0.67,0.35,2,2,0.2
"518",0.11,0.64,0,0.91,0.09,0.09,0.63,0.05,0,0.47,0.42,1,1,0.09
"519",0.16,0.61,0.01,0.73,0.02,0.25,0.61,0.15,0,0.5,0.54,2,1,0.11
"520",0.07,0.78,0,0.99,0,0.04,0.71,0.17,0,0.48,0.41,1,1,0
"521",0.15,0.76,0.02,0.87,0.1,0.13,0.74,0.01,0,0.72,0.39,2,2,0.13
"522",0.19,0.71,0.01,0.9,0.04,0.1,0.69,0.05,0,0.57,0.42,2,1,0.17
"523",0.59,0.41,0.67,0.61,0.44,0.11,0.4,0.51,0.01,0.59,0.63,2,1,0.46
"524",0.32,0.45,0.01,0.53,0.59,0.16,0.48,0.34,0,0.48,0.48,2,1,0.24
"525",0.34,0.48,0.02,0.88,0.13,0.06,0.41,0.19,0,0.48,0.48,1,1,0.08
"526",0.3,0.53,0.24,0.67,0.06,0.22,0.5,0.16,0.26,0.55,0.66,2,1,0.66
"527",1,0.09,0.04,0.18,1,0.33,0.08,0.23,0,0.51,0.59,2,1,0.25
"528",0.16,0.51,0.01,0.98,0.01,0.08,0.44,0.09,0,0.5,0.59,1,1,0.07
"529",0.45,0.46,0.06,0.37,0.01,1,0.6,0.1,0,0.64,0.43,2,2,0.56
